Row ID,Order ID,31-12-2010,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Country,Postal Code,Market,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority
41445,IR-2011-6550,02-01-2011,02-06-2011,Standard Class,PO-8850,Patrick O'Brill,Consumer,Mashhad,Razavi Khorasan,Iran,,EMEA,EMEA,FUR-ADV-10002601,Furniture,Furnishings,"Advantus Photo Frame, Erganomic",309.6,6,0,148.5,19.65,High
44508,AO-2011-1390,02-01-2011,02-04-2011,Second Class,DK-3150,David Kendrick,Corporate,Luanda,Luanda,Angola,,Africa,Africa,OFF-FEL-10001541,Office Supplies,Storage,"Fellowes Lockers, Wire Frame",206.4,1,0,92.88,53.08,Critical
11106,ES-2011-2010166,03-01-2011,03-05-2011,Standard Class,LO-17170,Lori Olson,Corporate,Berlin,Berlin,Germany,,EU,Central,TEC-AC-10004791,Technology,Accessories,"Belkin Keyboard, USB",151.362,2,0.1,-5.058,14.22,Medium
12529,ES-2011-1416586,03-01-2011,03-04-2011,Second Class,EL-13735,Ed Ludwig,Home Office,Bochum,North Rhine-Westphalia,Germany,,EU,Central,OFF-AR-10000505,Office Supplies,Art,"Binney & Smith Pens, Easy-Erase",146.52,12,0,0,3.35,Medium
12530,ES-2011-1416586,03-01-2011,03-04-2011,Second Class,EL-13735,Ed Ludwig,Home Office,Bochum,North Rhine-Westphalia,Germany,,EU,Central,TEC-MA-10001825,Technology,Machines,"Epson Calculator, Durable",46.53,1,0,12.54,6.09,Medium
12531,ES-2011-1416586,03-01-2011,03-04-2011,Second Class,EL-13735,Ed Ludwig,Home Office,Bochum,North Rhine-Westphalia,Germany,,EU,Central,OFF-ST-10000127,Office Supplies,Storage,"Fellowes Shelving, Wire Frame",102.438,2,0.1,35.238,3.3,Medium
13130,ES-2011-1705541,03-01-2011,03-06-2011,Standard Class,TS-21370,Todd Sumrall,Corporate,Farnborough,England,United Kingdom,,EU,North,FUR-BO-10000259,Furniture,Bookcases,"Safco Classic Bookcase, Traditional",1314.45,3,0,341.73,150.4,High
13131,ES-2011-1705541,03-01-2011,03-06-2011,Standard Class,TS-21370,Todd Sumrall,Corporate,Farnborough,England,United Kingdom,,EU,North,FUR-CH-10002830,Furniture,Chairs,"Office Star Rocking Chair, Red",704.55,5,0,288.75,64.4,High
13132,ES-2011-1705541,03-01-2011,03-06-2011,Standard Class,TS-21370,Todd Sumrall,Corporate,Farnborough,England,United Kingdom,,EU,North,OFF-AR-10004151,Office Supplies,Art,"BIC Sketch Pad, Blue",194.64,4,0,34.92,25.39,High
13133,ES-2011-1705541,03-01-2011,03-06-2011,Standard Class,TS-21370,Todd Sumrall,Corporate,Farnborough,England,United Kingdom,,EU,North,OFF-AR-10004884,Office Supplies,Art,"Sanford Pens, Fluorescent",37.08,3,0,10.35,3.55,High
14536,ES-2011-1517387,03-01-2011,03-08-2011,Standard Class,CM-12235,Chris McAfee,Consumer,Colmar,Alsace,France,,EU,Central,OFF-AR-10001418,Office Supplies,Art,"BIC Markers, Easy-Erase",106.8,4,0,29.88,16.48,Low
15218,ES-2011-3893444,03-01-2011,03-05-2011,Standard Class,TB-21400,Tom Boeckenhauer,Consumer,Berlin,Berlin,Germany,,EU,Central,OFF-AP-10002568,Office Supplies,Appliances,"Hamilton Beach Toaster, Black",364.416,8,0.2,45.456,80.67,High
15219,ES-2011-3893444,03-01-2011,03-05-2011,Standard Class,TB-21400,Tom Boeckenhauer,Consumer,Berlin,Berlin,Germany,,EU,Central,OFF-ST-10000875,Office Supplies,Storage,"Smead Shelving, Single Width",117.504,3,0.2,36.684,11.43,High
15220,ES-2011-3893444,03-01-2011,03-05-2011,Standard Class,TB-21400,Tom Boeckenhauer,Consumer,Berlin,Berlin,Germany,,EU,Central,OFF-ST-10000988,Office Supplies,Storage,"Fellowes Folders, Blue",63.36,3,0.2,23.76,8.22,High
15299,ES-2011-3227800,03-01-2011,03-05-2011,Standard Class,JF-15490,Jeremy Farry,Consumer,Rome,Lazio,Italy,,EU,South,OFF-BI-10003650,Office Supplies,Binders,"Ibico Index Tab, Clear",17.82,2,0,3.18,0.97,Medium
21443,IN-2011-56738,03-01-2011,03-05-2011,Standard Class,RF-19345,Randy Ferguson,Corporate,Handa,Aichi,Japan,,APAC,North Asia,FUR-FU-10002210,Furniture,Furnishings,"Tenex Clock, Black",351.75,7,0,59.64,15.91,Medium
21917,IN-2011-59986,03-01-2011,03-03-2011,First Class,KH-16360,Katherine Hughes,Consumer,Adelaide,South Australia,Australia,,APAC,Oceania,TEC-MA-10002520,Technology,Machines,"Panasonic Receipt Printer, White",214.758,2,0.1,7.158,55.67,High
21918,IN-2011-59986,03-01-2011,03-03-2011,First Class,KH-16360,Katherine Hughes,Consumer,Adelaide,South Australia,Australia,,APAC,Oceania,OFF-BI-10004436,Office Supplies,Binders,"Acco Hole Reinforcements, Recycled",12.636,2,0.1,-1.164,1.05,High
21919,IN-2011-59986,03-01-2011,03-03-2011,First Class,KH-16360,Katherine Hughes,Consumer,Adelaide,South Australia,Australia,,APAC,Oceania,OFF-SU-10001770,Office Supplies,Supplies,"Acme Scissors, Easy Grip",24.354,1,0.1,8.904,5.44,High
22736,IN-2011-52146,03-01-2011,03-05-2011,Standard Class,BD-11620,Brian DeCherney,Consumer,Melbourne,Victoria,Australia,,APAC,Oceania,OFF-BI-10000583,Office Supplies,Binders,"Wilson Jones Hole Reinforcements, Clear",21.546,6,0.1,4.266,1.02,Medium
26925,IN-2011-26946,03-01-2011,03-06-2011,Standard Class,LH-17155,Logan Haushalter,Consumer,Palembang,Sumatera Selatan,Indonesia,,APAC,Southeast Asia,FUR-CH-10001465,Furniture,Chairs,"Hon Swivel Stool, Red",238.929,2,0.27,62.169,15.01,Medium
26926,IN-2011-26946,03-01-2011,03-06-2011,Standard Class,LH-17155,Logan Haushalter,Consumer,Palembang,Sumatera Selatan,Indonesia,,APAC,Southeast Asia,OFF-EN-10004495,Office Supplies,Envelopes,"Kraft Peel and Seal, Security-Tint",109.1853,9,0.47,-74.4147,14.58,Medium
30176,ID-2011-50144,03-01-2011,03-05-2011,Standard Class,LH-17155,Logan Haushalter,Consumer,Hobart,Tasmania,Australia,,APAC,Oceania,TEC-PH-10001619,Technology,Phones,"Cisco Signal Booster, Full Size",91.872,1,0.4,-45.948,13.96,High
30177,ID-2011-50144,03-01-2011,03-05-2011,Standard Class,LH-17155,Logan Haushalter,Consumer,Hobart,Tasmania,Australia,,APAC,Oceania,OFF-PA-10000116,Office Supplies,Paper,"Xerox Parchment Paper, Premium",23.868,3,0.4,-7.632,3.9,High
31454,CA-2011-104269,03-01-2011,03-06-2011,Second Class,DB-13060,Dave Brooks,Consumer,Seattle,Washington,United States,98115,US,West,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,457.568,2,0.2,51.4764,47.89,Medium
37010,US-2011-143707,03-01-2011,03-05-2011,Standard Class,HR-14770,Hallie Redmond,Home Office,New York City,New York,United States,10035,US,East,TEC-PH-10003655,Technology,Phones,Sannysis Cute Owl Design Soft Skin Case Cover for Samsung Galaxy S4,5.94,3,0,1.6038,0.42,Medium
37844,CA-2011-113880,03-01-2011,03-05-2011,Standard Class,VF-21715,Vicky Freymann,Home Office,Elmhurst,Illinois,United States,60126,US,Central,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,634.116,6,0.3,-172.1172,70.05,High
37845,CA-2011-113880,03-01-2011,03-05-2011,Standard Class,VF-21715,Vicky Freymann,Home Office,Elmhurst,Illinois,United States,60126,US,Central,OFF-PA-10003036,Office Supplies,Paper,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",17.472,3,0.2,5.6784,1.94,High
39244,CA-2011-131009,03-01-2011,03-05-2011,Standard Class,SC-20380,Shahid Collister,Consumer,El Paso,Texas,United States,79907,US,Central,OFF-FA-10004395,Office Supplies,Fasteners,Plymouth Boxed Rubber Bands by Plymouth,18.84,5,0.2,-3.5325,2.05,Medium
39245,CA-2011-131009,03-01-2011,03-05-2011,Standard Class,SC-20380,Shahid Collister,Consumer,El Paso,Texas,United States,79907,US,Central,FUR-CH-10001270,Furniture,Chairs,Harbour Creations Steel Folding Chair,362.25,6,0.3,0,25.22,Medium
39246,CA-2011-131009,03-01-2011,03-05-2011,Standard Class,SC-20380,Shahid Collister,Consumer,El Paso,Texas,United States,79907,US,Central,FUR-FU-10001095,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,63.552,6,0.6,-34.9536,7.38,Medium
39247,CA-2011-131009,03-01-2011,03-05-2011,Standard Class,SC-20380,Shahid Collister,Consumer,El Paso,Texas,United States,79907,US,Central,OFF-ST-10001469,Office Supplies,Storage,Fellowes Bankers Box Recycled Super Stor/Drawer,129.552,3,0.2,-22.6716,8,Medium
39606,CA-2011-168312,03-01-2011,03-07-2011,Standard Class,GW-14605,Giulietta Weimer,Consumer,Houston,Texas,United States,77036,US,Central,OFF-ST-10003692,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders,137.352,3,0.2,8.5845,8.49,Medium
39607,CA-2011-168312,03-01-2011,03-07-2011,Standard Class,GW-14605,Giulietta Weimer,Consumer,Houston,Texas,United States,77036,US,Central,FUR-TA-10001866,Furniture,Tables,Bevis Round Conference Room Tables and Bases,376.509,3,0.3,-43.0296,32.7,Medium
44225,CA-2011-1800,03-01-2011,03-04-2011,First Class,TP-11415,Tom Prescott,Consumer,Toronto,Ontario,Canada,,Canada,Canada,OFF-OIC-10002161,Office Supplies,Fasteners,"OIC Push Pins, Assorted Sizes",12.36,1,0,2.46,3.1,High
44226,CA-2011-1800,03-01-2011,03-04-2011,First Class,TP-11415,Tom Prescott,Consumer,Toronto,Ontario,Canada,,Canada,Canada,OFF-HON-10001783,Office Supplies,Labels,"Hon Shipping Labels, 5000 Label Set",11.76,1,0,5.64,2.24,High
44227,CA-2011-1800,03-01-2011,03-04-2011,First Class,TP-11415,Tom Prescott,Consumer,Toronto,Ontario,Canada,,Canada,Canada,OFF-ACC-10004692,Office Supplies,Binders,"Acco 3-Hole Punch, Recycled",30.48,1,0,2.73,6.7,High
44228,CA-2011-1800,03-01-2011,03-04-2011,First Class,TP-11415,Tom Prescott,Consumer,Toronto,Ontario,Canada,,Canada,Canada,OFF-FEL-10001405,Office Supplies,Storage,"Fellowes File Cart, Industrial",551.16,4,0,71.64,164.36,High
44229,CA-2011-1800,03-01-2011,03-04-2011,First Class,TP-11415,Tom Prescott,Consumer,Toronto,Ontario,Canada,,Canada,Canada,TEC-APP-10004912,Technology,Phones,"Apple Speaker Phone, with Caller ID",493.2,4,0,123.24,18.19,High
44230,CA-2011-1800,03-01-2011,03-04-2011,First Class,TP-11415,Tom Prescott,Consumer,Toronto,Ontario,Canada,,Canada,Canada,FUR-HAR-10001792,Furniture,Chairs,"Harbour Creations Bag Chairs, Red",246.48,4,0,105.96,65.81,High
44500,UP-2011-3090,03-01-2011,03-01-2011,Same Day,BS-1800,Bryan Spruell,Home Office,Kherson,Kherson,Ukraine,,EMEA,EMEA,OFF-HON-10000137,Office Supplies,Labels,"Hon Round Labels, Laser Printer Compatible",13.32,2,0,5.46,1.94,Medium
44501,UP-2011-3090,03-01-2011,03-01-2011,Same Day,BS-1800,Bryan Spruell,Home Office,Kherson,Kherson,Ukraine,,EMEA,EMEA,OFF-STA-10000298,Office Supplies,Art,"Stanley Canvas, Blue",98.94,2,0,15.78,8.42,Medium
44502,UP-2011-3090,03-01-2011,03-01-2011,Same Day,BS-1800,Bryan Spruell,Home Office,Kherson,Kherson,Ukraine,,EMEA,EMEA,FUR-HON-10002424,Furniture,Chairs,"Hon Steel Folding Chair, Red",162.84,2,0,76.5,24.42,Medium
44503,UP-2011-3090,03-01-2011,03-01-2011,Same Day,BS-1800,Bryan Spruell,Home Office,Kherson,Kherson,Ukraine,,EMEA,EMEA,OFF-FEL-10002897,Office Supplies,Storage,"Fellowes Shelving, Single Width",115.74,2,0,30.06,19.52,Medium
48590,UP-2011-3730,03-01-2011,03-05-2011,Standard Class,RD-9900,Ruben Dartt,Consumer,Vinnytsya,Vinnytsya,Ukraine,,EMEA,EMEA,OFF-TEN-10001585,Office Supplies,Storage,"Tenex Box, Single Width",16.53,1,0,7.41,1.14,Medium
48591,UP-2011-3730,03-01-2011,03-05-2011,Standard Class,RD-9900,Ruben Dartt,Consumer,Vinnytsya,Vinnytsya,Ukraine,,EMEA,EMEA,FUR-SAF-10004530,Furniture,Bookcases,"Safco Floating Shelf Set, Traditional",196.74,1,0,86.55,12.33,Medium
48592,UP-2011-3730,03-01-2011,03-05-2011,Standard Class,RD-9900,Ruben Dartt,Consumer,Vinnytsya,Vinnytsya,Ukraine,,EMEA,EMEA,FUR-NOV-10004962,Furniture,Chairs,"Novimex Bag Chairs, Adjustable",48.45,1,0,12.09,2.21,Medium
48593,UP-2011-3730,03-01-2011,03-05-2011,Standard Class,RD-9900,Ruben Dartt,Consumer,Vinnytsya,Vinnytsya,Ukraine,,EMEA,EMEA,OFF-FEL-10002867,Office Supplies,Storage,"Fellowes Lockers, Single Width",1244.16,6,0,211.5,60.78,Medium
48594,UP-2011-3730,03-01-2011,03-05-2011,Standard Class,RD-9900,Ruben Dartt,Consumer,Vinnytsya,Vinnytsya,Ukraine,,EMEA,EMEA,TEC-STA-10004927,Technology,Machines,"StarTech Receipt Printer, Wireless",221.16,2,0,15.48,6.87,Medium
48595,UP-2011-3730,03-01-2011,03-05-2011,Standard Class,RD-9900,Ruben Dartt,Consumer,Vinnytsya,Vinnytsya,Ukraine,,EMEA,EMEA,TEC-SHA-10004874,Technology,Copiers,"Sharp Fax Machine, High-Speed",587.7,2,0,123.36,42.88,Medium
48596,UP-2011-3730,03-01-2011,03-05-2011,Standard Class,RD-9900,Ruben Dartt,Consumer,Vinnytsya,Vinnytsya,Ukraine,,EMEA,EMEA,OFF-TEN-10003211,Office Supplies,Storage,"Tenex Box, Wire Frame",31.14,2,0,14.28,0.81,Medium
48597,UP-2011-3730,03-01-2011,03-05-2011,Standard Class,RD-9900,Ruben Dartt,Consumer,Vinnytsya,Vinnytsya,Ukraine,,EMEA,EMEA,TEC-KON-10002194,Technology,Machines,"Konica Printer, White",266.25,1,0,79.86,16.22,Medium
48598,UP-2011-3730,03-01-2011,03-05-2011,Standard Class,RD-9900,Ruben Dartt,Consumer,Vinnytsya,Vinnytsya,Ukraine,,EMEA,EMEA,OFF-ELD-10002578,Office Supplies,Storage,"Eldon Box, Single Width",61.74,6,0,17.82,3.73,Medium
48599,UP-2011-3730,03-01-2011,03-05-2011,Standard Class,RD-9900,Ruben Dartt,Consumer,Vinnytsya,Vinnytsya,Ukraine,,EMEA,EMEA,TEC-LOG-10003896,Technology,Accessories,"Logitech Router, Erganomic",1470.78,6,0,264.6,146.55,Medium
50129,NI-2011-190,03-01-2011,03-06-2011,Standard Class,EH-3765,Edward Hooks,Corporate,Kano,Kano,Nigeria,,Africa,Africa,OFF-HOO-10002386,Office Supplies,Appliances,"Hoover Toaster, Silver",25.317,1,0.7,-28.713,0.79,Medium
590,US-2011-132899,04-01-2011,04-05-2011,Second Class,JB-15400,Jennifer Braxton,Corporate,Lima,Lima (city),Peru,,LATAM,South,OFF-EN-10002226,Office Supplies,Envelopes,"Jiffy Clasp Envelope, Recycled",8.784,3,0.4,-4.836,0.32,Medium
591,US-2011-132899,04-01-2011,04-05-2011,Second Class,JB-15400,Jennifer Braxton,Corporate,Lima,Lima (city),Peru,,LATAM,South,OFF-ST-10001374,Office Supplies,Storage,"Rogers Trays, Wire Frame",121.5,5,0.4,-48.6,5.41,Medium
592,US-2011-132899,04-01-2011,04-05-2011,Second Class,JB-15400,Jennifer Braxton,Corporate,Lima,Lima (city),Peru,,LATAM,South,TEC-PH-10002871,Technology,Phones,"Motorola Audio Dock, with Caller ID",138.696,2,0.4,-25.464,20.4,Medium
593,US-2011-132899,04-01-2011,04-05-2011,Second Class,JB-15400,Jennifer Braxton,Corporate,Lima,Lima (city),Peru,,LATAM,South,OFF-AR-10001991,Office Supplies,Art,"Stanley Markers, Easy-Erase",44.94,5,0.4,0.74,5.41,Medium
594,US-2011-132899,04-01-2011,04-05-2011,Second Class,JB-15400,Jennifer Braxton,Corporate,Lima,Lima (city),Peru,,LATAM,South,TEC-AC-10002760,Technology,Accessories,"Memorex Memory Card, Erganomic",80.064,2,0.4,-53.376,7.56,Medium
595,US-2011-132899,04-01-2011,04-05-2011,Second Class,JB-15400,Jennifer Braxton,Corporate,Lima,Lima (city),Peru,,LATAM,South,FUR-FU-10003283,Furniture,Furnishings,"Rubbermaid Stacking Tray, Durable",20.112,2,0.4,-1.688,3.66,Medium
596,US-2011-132899,04-01-2011,04-05-2011,Second Class,JB-15400,Jennifer Braxton,Corporate,Lima,Lima (city),Peru,,LATAM,South,FUR-CH-10004783,Furniture,Chairs,"Novimex Chairmat, Red",67.608,3,0.4,-29.352,5.65,Medium
2463,MX-2011-167773,04-01-2011,04-05-2011,Standard Class,LS-17245,Lynn Smith,Consumer,Bogotá,Bogota,Colombia,,LATAM,South,OFF-BI-10002222,Office Supplies,Binders,"Cardinal Binder Covers, Clear",15.28,2,0,1.96,1.2,High
2464,MX-2011-167773,04-01-2011,04-05-2011,Standard Class,LS-17245,Lynn Smith,Consumer,Bogotá,Bogota,Colombia,,LATAM,South,TEC-AC-10003851,Technology,Accessories,"Memorex Keyboard, Bluetooth",47.56,1,0,10.92,6,High
2465,MX-2011-167773,04-01-2011,04-05-2011,Standard Class,LS-17245,Lynn Smith,Consumer,Bogotá,Bogota,Colombia,,LATAM,South,OFF-BI-10000188,Office Supplies,Binders,"Cardinal Hole Reinforcements, Economy",17.8,5,0,0.5,1.96,High
3683,US-2011-148852,04-01-2011,04-04-2011,Second Class,VP-21760,Victoria Pisteka,Corporate,Arraiján,Panama,Panama,,LATAM,Central,OFF-AP-10002753,Office Supplies,Appliances,"Cuisinart Toaster, Red",85.536,4,0.4,-47.104,11.56,High
3684,US-2011-148852,04-01-2011,04-04-2011,Second Class,VP-21760,Victoria Pisteka,Corporate,Arraiján,Panama,Panama,,LATAM,Central,OFF-BI-10004305,Office Supplies,Binders,"Cardinal Hole Reinforcements, Durable",10.944,4,0.4,-3.136,1.37,High
11954,ES-2011-4237527,04-01-2011,04-04-2011,First Class,BP-11230,Benjamin Patterson,Consumer,Treviso,Veneto,Italy,,EU,South,OFF-BI-10003705,Office Supplies,Binders,"Wilson Jones Binding Machine, Recycled",295.92,6,0,32.4,71.22,High
11955,ES-2011-4237527,04-01-2011,04-04-2011,First Class,BP-11230,Benjamin Patterson,Consumer,Treviso,Veneto,Italy,,EU,South,TEC-AC-10004379,Technology,Accessories,"SanDisk Flash Drive, Programmable",123.12,3,0,50.4,11.19,High
11956,ES-2011-4237527,04-01-2011,04-04-2011,First Class,BP-11230,Benjamin Patterson,Consumer,Treviso,Veneto,Italy,,EU,South,OFF-AR-10000399,Office Supplies,Art,"Stanley Canvas, Water Color",157.95,3,0,69.48,21.83,High
15978,IT-2011-3468929,04-01-2011,04-04-2011,First Class,AS-10045,Aaron Smayling,Corporate,Rome,Lazio,Italy,,EU,South,TEC-PH-10003963,Technology,Phones,"Apple Signal Booster, Full Size",496.584,6,0.4,-289.836,122.65,High
22028,ID-2011-72096,04-01-2011,04-05-2011,Standard Class,PA-19060,Pete Armstrong,Home Office,Manila,National Capital,Philippines,,APAC,Southeast Asia,OFF-ST-10003319,Office Supplies,Storage,"Rogers Box, Wire Frame",25.344,2,0.45,-6.036,2.99,High
22029,ID-2011-72096,04-01-2011,04-05-2011,Standard Class,PA-19060,Pete Armstrong,Home Office,Manila,National Capital,Philippines,,APAC,Southeast Asia,OFF-BI-10004651,Office Supplies,Binders,"Cardinal Binding Machine, Clear",83.691,2,0.15,30.471,17.47,High
22375,ID-2011-77192,04-01-2011,04-05-2011,Standard Class,RP-19270,Rachel Payne,Corporate,Aew?l-li,Jeju,South Korea,,APAC,North Asia,OFF-LA-10001764,Office Supplies,Labels,"Avery Round Labels, Adjustable",10.08,4,0.5,-9.12,0.32,Medium
22376,ID-2011-77192,04-01-2011,04-05-2011,Standard Class,RP-19270,Rachel Payne,Corporate,Aew?l-li,Jeju,South Korea,,APAC,North Asia,OFF-ST-10004857,Office Supplies,Storage,"Smead Folders, Single Width",43.8,5,0.5,-13.2,3.05,Medium
22377,ID-2011-77192,04-01-2011,04-05-2011,Standard Class,RP-19270,Rachel Payne,Corporate,Aew?l-li,Jeju,South Korea,,APAC,North Asia,FUR-BO-10003408,Furniture,Bookcases,"Ikea 3-Shelf Cabinet, Metal",567.6,5,0.2,0,49.7,Medium
32669,US-2011-157021,04-01-2011,04-06-2011,Second Class,KM-16720,Kunst Miller,Consumer,Vallejo,California,United States,94591,US,West,OFF-LA-10002312,Office Supplies,Labels,Avery 490,29.6,2,0,14.8,3.01,Medium
32670,US-2011-157021,04-01-2011,04-06-2011,Second Class,KM-16720,Kunst Miller,Consumer,Vallejo,California,United States,94591,US,West,OFF-BI-10000042,Office Supplies,Binders,"Pressboard Data Binder, Crimson, 12"" X 8 1/2""",17.088,4,0.2,5.5536,0.65,Medium
39250,CA-2011-138359,04-01-2011,04-06-2011,Standard Class,KH-16330,Katharine Harms,Corporate,Revere,Massachusetts,United States,2151,US,East,OFF-ST-10000636,Office Supplies,Storage,Rogers Profile Extra Capacity Storage Tub,66.96,4,0,2.6784,1.57,Medium
